Blackia,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/blackia-et00099830-29-03-2019-03-41-35.jpg,"Blackia is based on the gold rush at Punjab`s international border during the 1970s, when many gold smuggling gangs were fighting to monopolise the business.  An innocent college boy is drawn into this war for power, and takes control of the underworld.",N/A,N/A,1338,0
Dil Diyan Gallan,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/dil-diyan-gallan-et00100839-15-04-2019-02-09-33.jpg,"Natasha Waraich is an internet sensation who has fans all over the world and enjoys every bit of attention that comes her way. During a rousing speech as a guest of honour at a London university, she is rudely interrupted by Laddi, a culinary arts major who is disinterested in the digital revolution and all the clamour for attention. ",N/A,N/A,4809,0
Bau Na Vichaar,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/bahu-na-vichaar-et00100926-16-04-2019-01-54-47.jpg,"A resourceful youngster with a unique vision joins a reality show for entrepreneurs, hoping to win it and thereby prove his worth to his friends, family and business partners.",N/A,N/A,699,0
Bornodi Bhotiai,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/bornodi-bhotiai-et00101266-22-04-2019-04-24-08.jpg,"Set in the island of Majuli, Bornodi Bhotiai follows the story of four boys who fall head over heels for the same girl. Educated but unemployed, all they dream of is a beautiful life with her. Their hilarious misadventures to win her heart forms the crux of the film.",N/A,N/A,72,0
Maharshi,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/maharshi-et00081372-09-08-2018-10-00-31.jpg,"Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers. Directed by Vamsi Paidipally, Maharshi features Mahesh Babu  and Pooja Hegde in central roles.",https://www.imdb.com/videoplayer/vi1344518937?playlistId=tt8333978&ref_=tt_ov_vi,N/A,41338,0
Chhota Bheem: Kung Fu Dhamaka,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/chhota-bheem-kung-fu-dhamaka-et00075945-17-05-2018-03-03-25.jpg,"Stronger than ever, our favourite little superhero Bheem and his friends are visiting the kingdom of China to participate in an annual martial arts competition. But when the country`s princess is kidnapped by an evil part-demon named Zuhu, Bheem decides to go after him and end Zuhu`s reign of terror.",https://www.imdb.com/videoplayer/vi1344518937?playlistId=tt8333978&ref_=tt_ov_vi,N/A,6511,0
Student Of The Year 2,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/student-of-the-year-2-et00045192-17-04-2017-18-00-34.jpg,"The second installment in the campus-drama series Student of The Year (2012), Student Of The Year 2 is a Hindi movie featuring Tiger Shroff, Ananya Pandey and Tara Sutaria in the prominent roles.",https://www.imdb.com/videoplayer/vi3238378777?playlistId=tt7255568&ref_=tt_ov_vi,N/A,53243,0
Pokemon Detective Pikachu,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/pokemon-detective-pikachu-et00088312-13-11-2018-10-58-13.jpg,"The story begins when ace private eye  Harry Goodman goes mysteriously missing, prompting his 21-year-old son Tim to find out what happened.  Aiding in the investigation is Harry's former Pokemon partner, Detective Pikachu: a hilariously  wise-cracking, adorable super-sleuth who is a puzzlement even to himself.Finding that they are uniquely equipped to communicate with  one  another, Tim and Pikachu join forces on a thrilling  adventure  to  unravel  the  tangled mystery. Chasing clues together through the neon-lit streets of Ryme City-a sprawling, modern metropolis where humans and Pokemon live side by side in a hyper-realistic live-action world - they encountera diverse cast of  Pokemon  characters  and  uncover  a  shocking  plot  that  could destroy this peaceful co-existence and threaten the whole Pokemon universe.",https://www.imdb.com/videoplayer/vi2102901273?playlistId=tt5884052&ref_=tt_ov_vi,N/A,31524,0
BRIGHTBURN,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/brightburn-et00099131-18-03-2019-03-36-48.jpg,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",https://www.imdb.com/videoplayer/vi4165188121?playlistId=tt7752126&ref_=tt_ov_vi,N/A,4294,0
Ayogya,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ayogya-tamil-et00088789-19-11-2018-08-29-25.jpg,Ayogya is a Tamil movie starring Vishal Krishna Reddy and Raashi Khanna in prominent role. It is a drama directed by Venkat Mohan.,https://www.imdb.com/videoplayer/vi3112024601?playlistId=tt9304360&ref_=tt_ov_vi,N/A,5292,0
